method,A1_IP_eV,B2_IP_eV,A2_IP_eV
KT,15.29,15.76,13.49
GW,13.25,13.52,13.20
ADC(2),10.69,10.79,13.05
ADC(3),12.61,12.79,12.49
MR-GW(6,4),12.65,12.94,14.56
MR-GW(8,5),11.58,12.09,12.94
MR-GW(8,6),11.93,12.33,13.09
DMRG,12.34,12.59,13.34
Exp.,12.73,13.00,13.54
MR-GW(6,4),14.38,14.67,15.12
MR-GW(8,5),13.59,13.92,13.10
MR-GW(8,6),13.78,14.10,13.28
