panel,method,state,angle_deg,value
EOM-CCSD,DMRG,A_1,106.0,12.759523472691171
EOM-CCSD,DMRG,A_1,110.0,12.612471287862888
EOM-CCSD,DMRG,A_1,114.0,12.452892050047282
EOM-CCSD,DMRG,A_1,118.0,12.285229479789018
EOM-CCSD,DMRG,A_1,122.0,12.111479685615723
EOM-CCSD,DMRG,A_1,126.0,11.929728294562645
EOM-CCSD,DMRG,A_1,130.0,11.743757129589186
EOM-CCSD,DMRG,A_1,134.0,11.55215324481232
EOM-CCSD,DMRG,A_1,138.0,11.354452698924158
EOM-CCSD,DMRG,A_1,142.0,11.153085298355117
EOM-CCSD,DMRG,A_1,146.0,10.947169487109242
EOM-CCSD,DMRG,B_2,90.0,10.983098424454841
EOM-CCSD,DMRG,B_2,94.0,11.374902779053773
EOM-CCSD,DMRG,B_2,98.0,11.699407375698886
EOM-CCSD,DMRG,B_2,102.0,11.966715825267563
EOM-CCSD,DMRG,B_2,106.0,12.185952040827742
EOM-CCSD,DMRG,B_2,110.0,12.364374103441136
EOM-CCSD,DMRG,B_2,114.0,12.507472094852671
EOM-CCSD,DMRG,B_2,118.0,12.620841508415602
EOM-CCSD,DMRG,B_2,122.0,12.708843447900279
EOM-CCSD,DMRG,B_2,126.0,12.769205782973861
EOM-CCSD,DMRG,B_2,130.0,12.810356981636607
EOM-CCSD,DMRG,B_2,134.0,12.832388538170793
EOM-CCSD,DMRG,B_2,138.0,12.834921990682265
EOM-CCSD,DMRG,B_2,142.0,12.821117727428485
EOM-CCSD,DMRG,B_2,146.0,12.787280210016558
EOM-CCSD,DMRG,A_2,90.0,12.877025486653315
EOM-CCSD,DMRG,A_2,94.0,12.985096686195808
EOM-CCSD,DMRG,A_2,98.0,13.077727314166642
EOM-CCSD,DMRG,A_2,102.0,13.156119809581304
EOM-CCSD,DMRG,A_2,106.0,13.22118317627325
EOM-CCSD,DMRG,A_2,110.0,13.27525369538499
EOM-CCSD,DMRG,A_2,114.0,13.315720658515664
EOM-CCSD,DMRG,A_2,118.0,13.347649851746255
EOM-CCSD,DMRG,A_2,122.0,13.37039163007745
EOM-CCSD,DMRG,A_2,126.0,13.385642647825456
EOM-CCSD,DMRG,A_2,130.0,13.393951761624534
EOM-CCSD,DMRG,A_2,134.0,13.395803078682949
EOM-CCSD,DMRG,A_2,138.0,13.390975490924614
EOM-CCSD,DMRG,A_2,142.0,13.379666523993329
EOM-CCSD,DMRG,A_2,146.0,13.358659099773535
"CAS(8,6)",DMRG,A_1,90.0,12.823198260571647
"CAS(8,6)",DMRG,A_1,91.0,12.894345055493343
"CAS(8,6)",DMRG,A_1,92.0,12.94333291549765
"CAS(8,6)",DMRG,A_1,94.0,12.992247523883798
"CAS(8,6)",DMRG,A_1,98.0,12.977085317936162
"CAS(8,6)",DMRG,A_1,102.0,12.886558876863186
"CAS(8,6)",DMRG,A_1,106.0,12.759523472691171
"CAS(8,6)",DMRG,A_1,110.0,12.612471287862888
"CAS(8,6)",DMRG,A_1,114.0,12.452892050047282
"CAS(8,6)",DMRG,A_1,118.0,12.285229479789018
"CAS(8,6)",DMRG,A_1,122.0,12.111479685615723
"CAS(8,6)",DMRG,A_1,126.0,11.929728294562645
"CAS(8,6)",DMRG,A_1,130.0,11.743757129589186
"CAS(8,6)",DMRG,A_1,134.0,11.55215324481232
"CAS(8,6)",DMRG,A_1,138.0,11.354452698924158
"CAS(8,6)",DMRG,A_1,142.0,11.153085298355117
"CAS(8,6)",DMRG,A_1,146.0,10.947169487109242
"CAS(8,6)",DMRG,B_2,90.0,10.983098424454841
"CAS(8,6)",DMRG,B_2,94.0,11.374902779053773
"CAS(8,6)",DMRG,B_2,98.0,11.699407375698886
"CAS(8,6)",DMRG,B_2,102.0,11.966715825267563
"CAS(8,6)",DMRG,B_2,106.0,12.185952040827742
"CAS(8,6)",DMRG,B_2,110.0,12.364374103441136
"CAS(8,6)",DMRG,B_2,114.0,12.507472094852671
"CAS(8,6)",DMRG,B_2,118.0,12.620841508415602
"CAS(8,6)",DMRG,B_2,122.0,12.708843447900279
"CAS(8,6)",DMRG,B_2,126.0,12.769205782973861
"CAS(8,6)",DMRG,B_2,130.0,12.810356981636607
"CAS(8,6)",DMRG,B_2,134.0,12.832388538170793
"CAS(8,6)",DMRG,B_2,138.0,12.834921990682265
"CAS(8,6)",DMRG,B_2,142.0,12.821117727428485
"CAS(8,6)",DMRG,B_2,146.0,12.787280210016558
"CAS(8,6)",DMRG,A_2,90.0,12.877025486653315
"CAS(8,6)",DMRG,A_2,94.0,12.985096686195808
"CAS(8,6)",DMRG,A_2,98.0,13.077727314166642
"CAS(8,6)",DMRG,A_2,102.0,13.156119809581304
"CAS(8,6)",DMRG,A_2,106.0,13.22118317627325
"CAS(8,6)",DMRG,A_2,110.0,13.27525369538499
"CAS(8,6)",DMRG,A_2,114.0,13.315720658515664
"CAS(8,6)",DMRG,A_2,118.0,13.347649851746255
"CAS(8,6)",DMRG,A_2,122.0,13.37039163007745
"CAS(8,6)",DMRG,A_2,126.0,13.385642647825456
"CAS(8,6)",DMRG,A_2,130.0,13.393951761624534
"CAS(8,6)",DMRG,A_2,134.0,13.395803078682949
"CAS(8,6)",DMRG,A_2,138.0,13.390975490924614
"CAS(8,6)",DMRG,A_2,142.0,13.379666523993329
"CAS(8,6)",DMRG,A_2,146.0,13.358659099773535
"MR-GW(8,6)",DMRG,A_1,90.0,12.823198260571647
"MR-GW(8,6)",DMRG,A_1,91.0,12.894345055493343
"MR-GW(8,6)",DMRG,A_1,92.0,12.94333291549765
"MR-GW(8,6)",DMRG,A_1,94.0,12.992247523883798
"MR-GW(8,6)",DMRG,A_1,98.0,12.977085317936162
"MR-GW(8,6)",DMRG,A_1,102.0,12.886558876863186
"MR-GW(8,6)",DMRG,A_1,106.0,12.759523472691171
"MR-GW(8,6)",DMRG,A_1,110.0,12.612471287862888
"MR-GW(8,6)",DMRG,A_1,114.0,12.452892050047282
"MR-GW(8,6)",DMRG,A_1,118.0,12.285229479789018
